time_utc,temperature_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_dir_deg
2023-01-01 00:00:00+00:00,0.2,976.4,98.0,2.5,188.0
2023-01-01 01:00:00+00:00,0.3,976.8,98.0,3.6,227.0
2023-01-01 02:00:00+00:00,0.6,977.7,96.0,4.3,249.0
2023-01-01 03:00:00+00:00,0.4,978.7,96.0,5.3,248.0
2023-01-01 04:00:00+00:00,0.5,979.3,94.0,4.9,268.0
2023-01-01 05:00:00+00:00,0.5,980.5,95.0,4.5,261.0
2023-01-01 06:00:00+00:00,0.4,981.2,95.0,5.1,265.0
2023-01-01 07:00:00+00:00,0.3,982.3,91.0,4.5,259.0
2023-01-01 08:00:00+00:00,0.0,983.2,89.0,5.4,251.0
2023-01-01 09:00:00+00:00,-0.7,984.4,92.0,5.0,257.0
2023-01-01 10:00:00+00:00,-0.8,984.9,89.0,5.7,259.0
2023-01-01 11:00:00+00:00,-0.9,985.4,92.0,6.6,264.0
2023-01-01 12:00:00+00:00,-0.7,986.1,92.0,6.0,278.0
2023-01-01 13:00:00+00:00,-0.7,987.1,88.0,4.9,279.0
2023-01-01 14:00:00+00:00,-1.1,988.2,84.0,5.1,293.0
2023-01-01 15:00:00+00:00,-0.9,989.5,82.0,5.5,300.0
2023-01-01 16:00:00+00:00,-0.5,990.9,81.0,5.3,304.0
2023-01-01 17:00:00+00:00,-0.8,992.1,83.0,5.0,287.0
2023-01-01 18:00:00+00:00,-1.5,993.5,83.0,4.8,285.0
2023-01-01 19:00:00+00:00,-2.4,994.8,82.0,5.2,293.0
2023-01-01 20:00:00+00:00,-3.2,996.3,83.0,4.4,289.0
2023-01-01 21:00:00+00:00,-4.0,997.4,84.0,3.0,285.0
2023-01-01 22:00:00+00:00,-4.9,998.5,86.0,2.5,287.0
2023-01-01 23:00:00+00:00,-4.9,999.5,84.0,3.6,270.0
2023-01-02 00:00:00+00:00,-5.8,1000.3,88.0,1.8,265.0
2023-01-02 01:00:00+00:00,-5.8,1001.2,87.0,2.7,253.0
2023-01-02 02:00:00+00:00,-5.8,1002.3,87.0,1.8,258.0
2023-01-02 03:00:00+00:00,-9.3,1003.1,90.0,0.8,205.0
2023-01-02 04:00:00+00:00,-10.6,1003.9,91.0,1.5,197.0
2023-01-02 05:00:00+00:00,-12.7,1004.8,88.0,1.1,230.0
2023-01-02 06:00:00+00:00,-13.0,1005.4,88.0,0.6,123.0
2023-01-02 07:00:00+00:00,-14.7,1006.4,85.0,0.8,207.0
2023-01-02 08:00:00+00:00,-15.3,1007.3,87.0,0.5,68.0
2023-01-02 09:00:00+00:00,-15.7,1007.8,87.0,0.5,83.0
2023-01-02 10:00:00+00:00,-15.1,1008.7,83.0,1.3,62.0
2023-01-02 11:00:00+00:00,-15.8,1008.7,87.0,0.5,4.0
2023-01-02 12:00:00+00:00,-15.8,1009.4,84.0,1.1,237.0
2023-01-02 13:00:00+00:00,-16.7,1010.0,85.0,0.4,51.0
2023-01-02 14:00:00+00:00,-18.8,1010.1,81.0,1.1,130.0
2023-01-02 15:00:00+00:00,-19.4,1010.3,82.0,0.8,89.0
2023-01-02 16:00:00+00:00,-19.2,1010.3,82.0,1.0,245.0
2023-01-02 17:00:00+00:00,-20.1,1010.4,80.0,0.0,0.0
2023-01-02 18:00:00+00:00,-20.3,1010.3,81.0,0.8,11.0
2023-01-02 19:00:00+00:00,-18.0,1010.2,83.0,0.8,40.0
2023-01-02 20:00:00+00:00,-17.0,1010.3,83.0,1.0,30.0
2023-01-02 21:00:00+00:00,-14.3,1010.2,86.0,1.8,44.0
2023-01-02 22:00:00+00:00,-14.1,1010.3,86.0,1.9,80.0
2023-01-02 23:00:00+00:00,-14.1,1010.0,86.0,1.7,67.0
2023-01-03 00:00:00+00:00,-13.6,1010.2,86.0,2.7,58.0
2023-01-03 01:00:00+00:00,-12.7,1010.2,87.0,2.0,67.0
2023-01-03 02:00:00+00:00,-12.0,1010.3,88.0,2.3,48.0
2023-01-03 03:00:00+00:00,-11.3,1010.2,88.0,2.3,58.0
2023-01-03 04:00:00+00:00,-10.8,1010.2,89.0,2.6,45.0
2023-01-03 05:00:00+00:00,-10.8,1010.2,89.0,3.3,49.0
2023-01-03 06:00:00+00:00,-10.8,1010.6,89.0,3.1,48.0
2023-01-03 07:00:00+00:00,-10.6,1011.2,89.0,2.1,45.0
2023-01-03 08:00:00+00:00,-10.7,1011.9,89.0,2.3,44.0
2023-01-03 09:00:00+00:00,-10.4,1012.6,89.0,2.6,39.0
2023-01-03 10:00:00+00:00,-10.9,1013.1,89.0,2.3,34.0
2023-01-03 11:00:00+00:00,-10.2,1013.6,89.0,1.4,29.0
2023-01-03 12:00:00+00:00,-9.8,1014.5,90.0,1.7,33.0
2023-01-03 13:00:00+00:00,-9.8,1015.3,89.0,2.9,36.0
2023-01-03 14:00:00+00:00,-10.3,1016.0,88.0,3.5,24.0
2023-01-03 15:00:00+00:00,-10.3,1016.6,88.0,2.3,16.0
2023-01-03 16:00:00+00:00,-10.6,1017.1,87.0,3.0,15.0
2023-01-03 17:00:00+00:00,-10.5,1017.8,87.0,2.2,3.0
2023-01-03 18:00:00+00:00,-11.3,1018.6,89.0,1.9,4.0
2023-01-03 19:00:00+00:00,-13.2,1019.0,88.0,0.9,4.0
2023-01-03 20:00:00+00:00,-16.4,1019.9,85.0,1.0,359.0
2023-01-03 21:00:00+00:00,-17.6,1020.5,85.0,1.2,18.0
2023-01-03 22:00:00+00:00,-18.4,1021.0,82.0,0.0,0.0
2023-01-03 23:00:00+00:00,-21.2,1021.8,81.0,0.5,137.0
2023-01-04 00:00:00+00:00,-21.3,1022.5,80.0,0.8,136.0
2023-01-04 01:00:00+00:00,-22.5,1022.7,83.0,0.8,359.0
2023-01-04 02:00:00+00:00,-22.3,1022.9,79.0,0.4,271.0
2023-01-04 03:00:00+00:00,-22.5,1023.1,77.0,1.4,128.0
2023-01-04 04:00:00+00:00,-20.1,1022.9,80.0,0.8,80.0
2023-01-04 05:00:00+00:00,-16.7,1022.8,83.0,0.7,352.0
2023-01-04 06:00:00+00:00,-15.6,1022.6,85.0,0.9,328.0
2023-01-04 07:00:00+00:00,-12.1,1022.4,86.0,2.8,303.0
2023-01-04 08:00:00+00:00,-11.9,1022.2,88.0,0.7,316.0
2023-01-04 09:00:00+00:00,-10.0,1022.2,85.0,3.0,349.0
2023-01-04 10:00:00+00:00,-9.8,1022.5,85.0,2.2,339.0
2023-01-04 11:00:00+00:00,-9.6,1022.3,86.0,1.9,352.0
2023-01-04 12:00:00+00:00,-9.5,1022.3,88.0,1.3,337.0
2023-01-04 13:00:00+00:00,-9.4,1022.3,87.0,1.8,351.0
2023-01-04 14:00:00+00:00,-9.1,1022.3,88.0,1.4,353.0
2023-01-04 15:00:00+00:00,-9.2,1022.2,89.0,1.2,41.0
2023-01-04 16:00:00+00:00,-7.7,1022.1,88.0,2.1,25.0
2023-01-04 17:00:00+00:00,-7.5,1022.2,88.0,3.0,26.0
2023-01-04 18:00:00+00:00,-7.3,1022.3,89.0,2.4,26.0
2023-01-04 19:00:00+00:00,-6.8,1022.6,88.0,2.6,24.0
2023-01-04 20:00:00+00:00,-6.6,1022.7,88.0,4.3,40.0
2023-01-04 21:00:00+00:00,-6.3,1022.8,87.0,3.5,52.0
2023-01-04 22:00:00+00:00,-6.3,1022.9,85.0,3.6,17.0
2023-01-04 23:00:00+00:00,-6.8,1023.0,83.0,3.7,18.0
2023-01-05 00:00:00+00:00,-5.9,1023.2,81.0,4.5,23.0
2023-01-05 01:00:00+00:00,-6.2,1023.5,85.0,2.2,40.0
2023-01-05 02:00:00+00:00,-6.3,1023.8,85.0,2.8,31.0
2023-01-05 03:00:00+00:00,-6.4,1024.1,85.0,2.5,33.0
2023-01-05 04:00:00+00:00,-6.3,1024.1,84.0,2.1,43.0
2023-01-05 05:00:00+00:00,-6.3,1024.4,83.0,3.3,24.0
2023-01-05 06:00:00+00:00,-6.6,1024.4,84.0,2.9,23.0
2023-01-05 07:00:00+00:00,-8.0,1024.9,87.0,2.3,21.0
2023-01-05 08:00:00+00:00,-8.5,1025.4,89.0,2.2,25.0
2023-01-05 09:00:00+00:00,-9.1,1025.8,87.0,1.8,31.0
2023-01-05 10:00:00+00:00,-11.1,1026.4,89.0,1.8,27.0
2023-01-05 11:00:00+00:00,-13.6,1026.8,91.0,1.0,74.0
2023-01-05 12:00:00+00:00,-13.8,1027.1,88.0,1.0,35.0
2023-01-05 13:00:00+00:00,-16.3,1027.6,86.0,1.0,222.0
2023-01-05 14:00:00+00:00,-18.1,1028.0,83.0,0.4,146.0
2023-01-05 15:00:00+00:00,-18.4,1028.2,83.0,0.3,340.0
2023-01-05 16:00:00+00:00,-17.6,1028.5,83.0,0.7,170.0
2023-01-05 17:00:00+00:00,-15.9,1028.3,84.0,0.4,357.0
2023-01-05 18:00:00+00:00,-16.2,1028.8,84.0,0.6,208.0
2023-01-05 19:00:00+00:00,-15.6,1028.9,84.0,0.9,88.0
2023-01-05 20:00:00+00:00,-14.6,1029.0,85.0,0.8,303.0
2023-01-05 21:00:00+00:00,-14.8,1029.3,85.0,1.2,135.0
2023-01-05 22:00:00+00:00,-14.4,1029.6,85.0,0.6,233.0
2023-01-05 23:00:00+00:00,-14.0,1029.8,85.0,1.4,197.0
2023-01-06 00:00:00+00:00,-13.6,1029.7,86.0,1.0,216.0
2023-01-06 01:00:00+00:00,-13.2,1029.7,87.0,1.2,115.0
2023-01-06 02:00:00+00:00,-12.7,1029.7,87.0,1.8,263.0
2023-01-06 03:00:00+00:00,-12.6,1029.6,87.0,0.5,200.0
2023-01-06 04:00:00+00:00,-12.5,1029.4,87.0,1.0,216.0
2023-01-06 05:00:00+00:00,-12.3,1029.1,87.0,0.9,185.0
2023-01-06 06:00:00+00:00,-12.2,1028.8,87.0,0.7,208.0
2023-01-06 07:00:00+00:00,-12.5,1028.6,87.0,0.3,258.0
2023-01-06 08:00:00+00:00,-12.2,1028.7,88.0,0.5,233.0
2023-01-06 09:00:00+00:00,-12.2,1028.7,88.0,0.8,193.0
2023-01-06 10:00:00+00:00,-11.5,1028.6,88.0,0.8,198.0
2023-01-06 11:00:00+00:00,-12.0,1028.4,88.0,1.6,214.0
2023-01-06 12:00:00+00:00,-13.6,1028.0,88.0,1.2,198.0
2023-01-06 13:00:00+00:00,-14.8,1027.9,89.0,1.7,209.0
2023-01-06 14:00:00+00:00,-18.7,1027.8,82.0,1.0,164.0
2023-01-06 15:00:00+00:00,-19.7,1028.0,82.0,0.3,135.0
2023-01-06 16:00:00+00:00,-20.1,1027.9,82.0,0.4,135.0
2023-01-06 17:00:00+00:00,-21.6,1027.6,81.0,0.7,95.0
2023-01-06 18:00:00+00:00,-22.4,1027.3,78.0,1.0,8.0
2023-01-06 19:00:00+00:00,-20.6,1027.1,80.0,1.3,44.0
2023-01-06 20:00:00+00:00,-18.7,1027.3,82.0,1.0,46.0
2023-01-06 21:00:00+00:00,-18.0,1027.3,82.0,1.2,52.0
2023-01-06 22:00:00+00:00,-17.7,1027.1,82.0,1.1,46.0
2023-01-06 23:00:00+00:00,-17.4,1027.2,83.0,1.2,59.0
2023-01-07 00:00:00+00:00,-16.9,1026.9,83.0,1.2,53.0
2023-01-07 01:00:00+00:00,-16.3,1027.1,84.0,0.8,9.0
2023-01-07 02:00:00+00:00,-16.1,1026.7,84.0,1.5,32.0
2023-01-07 03:00:00+00:00,-15.5,1026.5,84.0,1.8,43.0
2023-01-07 04:00:00+00:00,-15.3,1026.3,85.0,2.1,52.0
2023-01-07 05:00:00+00:00,-14.6,1026.4,85.0,1.8,64.0
2023-01-07 06:00:00+00:00,-14.3,1026.6,86.0,2.0,65.0
2023-01-07 07:00:00+00:00,-15.8,1026.7,84.0,1.9,76.0
2023-01-07 08:00:00+00:00,-17.5,1026.8,83.0,1.5,83.0
2023-01-07 09:00:00+00:00,-16.7,1026.9,83.0,2.3,107.0
2023-01-07 10:00:00+00:00,-16.3,1026.8,83.0,2.7,98.0
2023-01-07 11:00:00+00:00,-15.7,1026.3,84.0,3.0,101.0
2023-01-07 12:00:00+00:00,-14.8,1026.1,84.0,2.8,84.0
2023-01-07 13:00:00+00:00,-13.8,1026.0,84.0,2.8,99.0
2023-01-07 14:00:00+00:00,-13.0,1025.1,83.0,4.0,109.0
2023-01-07 15:00:00+00:00,-12.5,1024.9,82.0,3.2,113.0
2023-01-07 16:00:00+00:00,-12.4,1024.8,82.0,3.6,95.0
2023-01-07 17:00:00+00:00,-12.5,1024.2,83.0,3.3,87.0
2023-01-07 18:00:00+00:00,-12.2,1024.0,84.0,2.8,86.0
2023-01-07 19:00:00+00:00,-11.7,1023.8,83.0,3.5,97.0
2023-01-07 20:00:00+00:00,-11.9,1023.7,84.0,2.8,86.0
2023-01-07 21:00:00+00:00,-11.5,1023.8,83.0,2.8,107.0
2023-01-07 22:00:00+00:00,-11.2,1023.1,82.0,3.7,113.0
2023-01-07 23:00:00+00:00,-11.1,1022.6,83.0,2.9,110.0
2023-01-08 00:00:00+00:00,-10.9,1022.6,83.0,3.2,123.0
